Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.01   7004.26     0.66                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1290 @ 403c49)
  0.01   7004.91     0.65                             Tree::Growth() (main_v2.3.2.cpp:1179 @ 40347e)
  0.01   7005.54     0.63 147934924     0.00     0.00  std::cos(float) (cmath:204 @ 40df48)
  0.01   7006.15     0.61                             UpdateTreefall() (main_v2.3.2.cpp:2752 @ 40afc3)
  0.01   7006.75     0.60                             UpdateField() (main_v2.3.2.cpp:2439 @ 409e80)
  0.01   7007.33     0.58                             flor(float) (main_v2.3.2.cpp:323 @ 40e0a1)
  0.01   7007.91     0.58                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1239 @ 4037e2)
  0.01   7008.49     0.58                             genrand2i() (main_v2.3.2.cpp:3299 @ 40dc6a)
  0.01   7009.06     0.57                             Tree::DisperseSeed() (main_v2.3.2.cpp:1348 @ 403fc6)
  0.01   7009.62     0.56                             Tree::DisperseSeed() (main_v2.3.2.cpp:1341 @ 403f0f)
  0.01   7010.17     0.55                             genrand2() (main_v2.3.2.cpp:3246 @ 40d9c6)
  0.01   7010.72     0.55                             genrand2i() (main_v2.3.2.cpp:3295 @ 40dbe8)
  0.01   7011.27     0.55                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1247 @ 403895)
  0.01   7011.81     0.54 960000000     0.00     0.00  Tree::Average() (main_v2.3.2.cpp:1501 @ 405000)
  0.01   7012.35     0.54                             UpdateTree() (main_v2.3.2.cpp:2723 @ 40ae76)
  0.01   7012.88     0.54                             Tree::CalcLAI() (main_v2.3.2.cpp:1033 @ 4029a5)
  0.01   7013.40     0.52                             Tree::CalcLAI() (main_v2.3.2.cpp:1042 @ 402a65)
  0.01   7013.92     0.52                             UpdateTree() (main_v2.3.2.cpp:2671 @ 40aafe)
  0.01   7014.43     0.52                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1246 @ 403875)
  0.01   7014.94     0.51                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:785 @ 40e7a0)
  0.01   7015.44     0.50                             UpdateTreefall() (main_v2.3.2.cpp:2752 @ 40af61)
  0.01   7015.91     0.47 681532889     0.00     0.00  Species::DeathRate(float, float, int) (main_v2.3.2.cpp:722 @ 40e380)
  0.01   7016.37     0.46                             flor(float) (main_v2.3.2.cpp:325 @ 40e0b9)
  0.01   7016.82     0.46                             Tree::Fluxh(int) (main_v2.3.2.cpp:1072 @ 402cd8)
  0.01   7017.28     0.46                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1244 @ 403830)
  0.01   7017.73     0.45                             Tree::Growth() (main_v2.3.2.cpp:1190 @ 403605)
  0.01   7018.15     0.43 654421349     0.00     0.00  Tree::DisperseSeed() (main_v2.3.2.cpp:1323 @ 403d92)
  0.01   7018.56     0.41                             UpdateTreefall() (main_v2.3.2.cpp:2763 @ 40afd2)
  0.01   7018.97     0.41                             Tree::Fluxh(int) (main_v2.3.2.cpp:1074 @ 402cee)
  0.01   7019.38     0.41                             Tree::Growth() (main_v2.3.2.cpp:1189 @ 4035f4)
  0.01   7019.79     0.41                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1243 @ 40380b)
  0.01   7020.17     0.39                             UpdateTree() (main_v2.3.2.cpp:2688 @ 40ac36)
  0.01   7020.55     0.38                             UpdateTree() (main_v2.3.2.cpp:2723 @ 40ae47)
  0.01   7020.93     0.38                             Tree::Growth() (main_v2.3.2.cpp:1153 @ 4032a4)
  0.01   7021.31     0.38                             sgenrand2(unsigned long) (main_v2.3.2.cpp:3228 @ 40d8fe)
  0.01   7021.68     0.38                             sgenrand2(unsigned long) (main_v2.3.2.cpp:3230 @ 40d91a)
