Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.02   4935.29     0.77                             Tree::DisperseSeed() (troll.cpp:1556 @ 40433d)
  0.02   4936.06     0.77                             Tree::Growth() (troll.cpp:1367 @ 40369a)
  0.02   4936.82     0.76                             UpdateTreefall() (troll.cpp:2983 @ 40b2ca)
  0.02   4937.58     0.76                             std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:913 @ 40fae5)
  0.02   4938.33     0.76                             std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:915 @ 40fb07)
  0.02   4939.08     0.75                             Tree::DisperseSeed() (troll.cpp:1562 @ 40439e)
  0.01   4939.82     0.74                             Tree::UpdateLeafDynamics() (troll.cpp:1463 @ 403cc1)
  0.01   4940.56     0.74                             Tree::Fluxh(int) (troll.cpp:1321 @ 4034e8)
  0.01   4941.30     0.74                             Tree::Growth() (troll.cpp:1369 @ 40371f)
  0.01   4942.03     0.73                             Tree::Growth() (troll.cpp:1387 @ 40381f)
  0.01   4942.76     0.73                             __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) (cmath:437 @ 40fb20)
  0.01   4943.48     0.72 655625534     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) (stl_construct.h:112 @ 410a41)
  0.01   4944.20     0.72                             Tree::Average() (troll.cpp:1718 @ 405423)
  0.01   4944.91     0.71        1   710.09   710.09  _GLOBAL__sub_I_buffer (troll.cpp:3552 @ 40e053)
  0.01   4945.62     0.71                             Tree::Fluxh(int) (troll.cpp:1275 @ 403145)
  0.01   4946.31     0.70                             Tree::CalcLAI() (troll.cpp:1237 @ 402ea0)
  0.01   4947.00     0.69                             genrand2i() (troll.cpp:3525 @ 40dd29)
  0.01   4947.69     0.69                             genrand2i() (troll.cpp:3542 @ 40de98)
  0.01   4948.35     0.67                             std::vector<int, std::allocator<int> >::_M_erase_at_end(int*) (stl_vector.h:1354 @ 40fe63)
  0.01   4949.01     0.66 654185552     0.00     0.00  std::vector<int, std::allocator<int> >::clear() (stl_vector.h:1125 @ 40fc74)
  0.01   4949.64     0.63                             Tree::Growth() (troll.cpp:1350 @ 403575)
  0.01   4950.27     0.63                             Tree::UpdateLeafDynamics() (troll.cpp:1457 @ 403c4d)
  0.01   4950.89     0.62                             UpdateTreefall() (troll.cpp:2988 @ 40b36f)
  0.01   4951.49     0.61                             genrand2i() (troll.cpp:3552 @ 40defd)
  0.01   4952.10     0.61                             __tcf_0 (troll.cpp:93 @ 40deff)
  0.01   4952.69     0.59 655625534     0.00     0.00  void std::_Destroy<int*>(int*, int*) (stl_construct.h:122 @ 4107e1)
  0.01   4953.27     0.59                             Tree::DisperseSeed() (troll.cpp:1555 @ 4042e7)
